matchup,game,competitor,run_id,preset,repetition,seat,points,pudding,outcome,opponents
30,2983,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,1,55,4,win,random/repetition_1|fixed_3p/repetition_2
30,2983,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,2,50,3,loss,random/repetition_1|variable_encoder_2_4/repetition_3
30,2984,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,0,45,4,win,variable_encoder_2_4/repetition_3|random/repetition_1
30,2984,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,1,37,4,loss,fixed_3p/repetition_2|random/repetition_1
30,2984,random/repetition_1,random,random,1,2,30,1,loss,fixed_3p/repetition_2|variable_encoder_2_4/repetition_3
30,2985,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,0,48,4,win,random/repetition_1|fixed_3p/repetition_2
30,2985,random/repetition_1,random,random,1,1,25,0,loss,variable_encoder_2_4/repetition_3|fixed_3p/repetition_2
30,2985,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,2,46,4,loss,variable_encoder_2_4/repetition_3|random/repetition_1
30,2986,random/repetition_1,random,random,1,0,28,0,loss,variable_encoder_2_4/repetition_3|fixed_3p/repetition_2
30,2986,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,1,55,2,loss,random/repetition_1|fixed_3p/repetition_2
30,2986,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,2,57,4,win,random/repetition_1|variable_encoder_2_4/repetition_3
30,2987,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,0,59,4,win,fixed_3p/repetition_2|random/repetition_1
30,2987,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,1,54,3,loss,variable_encoder_2_4/repetition_3|random/repetition_1
30,2987,random/repetition_1,random,random,1,2,19,1,loss,variable_encoder_2_4/repetition_3|fixed_3p/repetition_2
30,2988,random/repetition_1,random,random,1,0,26,2,loss,fixed_3p/repetition_2|variable_encoder_2_4/repetition_3
30,2988,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,1,38,2,loss,random/repetition_1|variable_encoder_2_4/repetition_3
30,2988,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,2,56,3,win,random/repetition_1|fixed_3p/repetition_2
30,2989,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,0,40,2,loss,random/repetition_1|variable_encoder_2_4/repetition_3
30,2989,random/repetition_1,random,random,1,1,31,2,loss,fixed_3p/repetition_2|variable_encoder_2_4/repetition_3
30,2989,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,2,47,4,win,fixed_3p/repetition_2|random/repetition_1
30,2990,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,0,57,3,win,fixed_3p/repetition_2|random/repetition_1
30,2990,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,1,37,2,loss,variable_encoder_2_4/repetition_3|random/repetition_1
30,2990,random/repetition_1,random,random,1,2,37,2,loss,variable_encoder_2_4/repetition_3|fixed_3p/repetition_2
30,2991,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,0,60,3,win,fixed_3p/repetition_2|random/repetition_1
30,2991,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,1,44,5,loss,variable_encoder_2_4/repetition_3|random/repetition_1
30,2991,random/repetition_1,random,random,1,2,39,0,loss,variable_encoder_2_4/repetition_3|fixed_3p/repetition_2
30,2992,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,0,49,4,win,variable_encoder_2_4/repetition_3|random/repetition_1
30,2992,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,1,49,1,loss,fixed_3p/repetition_2|random/repetition_1
30,2992,random/repetition_1,random,random,1,2,26,2,loss,fixed_3p/repetition_2|variable_encoder_2_4/repetition_3
30,2993,random/repetition_1,random,random,1,0,19,1,loss,variable_encoder_2_4/repetition_3|fixed_3p/repetition_2
30,2993,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,1,46,3,loss,random/repetition_1|fixed_3p/repetition_2
30,2993,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,2,56,3,win,random/repetition_1|variable_encoder_2_4/repetition_3
30,2994,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,0,63,3,win,fixed_3p/repetition_2|random/repetition_1
30,2994,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,1,43,3,loss,variable_encoder_2_4/repetition_3|random/repetition_1
30,2994,random/repetition_1,random,random,1,2,29,2,loss,variable_encoder_2_4/repetition_3|fixed_3p/repetition_2
30,2995,random/repetition_1,random,random,1,0,19,1,loss,variable_encoder_2_4/repetition_3|fixed_3p/repetition_2
30,2995,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,1,53,4,loss,random/repetition_1|fixed_3p/repetition_2
30,2995,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,2,56,4,win,random/repetition_1|variable_encoder_2_4/repetition_3
30,2996,random/repetition_1,random,random,1,0,26,4,loss,variable_encoder_2_4/repetition_3|fixed_3p/repetition_2
30,2996,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,1,40,3,loss,random/repetition_1|fixed_3p/repetition_2
30,2996,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,2,43,1,win,random/repetition_1|variable_encoder_2_4/repetition_3
30,2997,random/repetition_1,random,random,1,0,16,2,loss,variable_encoder_2_4/repetition_3|fixed_3p/repetition_2
30,2997,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,1,54,4,win,random/repetition_1|fixed_3p/repetition_2
30,2997,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,2,50,3,loss,random/repetition_1|variable_encoder_2_4/repetition_3
30,2998,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,0,56,4,win,fixed_3p/repetition_2|random/repetition_1
30,2998,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,1,44,3,loss,variable_encoder_2_4/repetition_3|random/repetition_1
30,2998,random/repetition_1,random,random,1,2,31,3,loss,variable_encoder_2_4/repetition_3|fixed_3p/repetition_2
30,2999,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,0,57,4,win,random/repetition_1|variable_encoder_2_4/repetition_3
30,2999,random/repetition_1,random,random,1,1,27,1,loss,fixed_3p/repetition_2|variable_encoder_2_4/repetition_3
30,2999,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,2,46,4,loss,fixed_3p/repetition_2|random/repetition_1
30,3000,random/repetition_1,random,random,1,0,26,2,loss,fixed_3p/repetition_2|variable_encoder_2_4/repetition_3
30,3000,fixed_3p/repetition_2,1b46a28f63fb40d9b4a774b4a3125f0c,fixed_3p,2,1,43,4,loss,random/repetition_1|variable_encoder_2_4/repetition_3
30,3000,variable_encoder_2_4/repetition_3,ff7c9e64890348edad17616988967f76,variable_encoder_2_4,3,2,53,1,win,random/repetition_1|fixed_3p/repetition_2
31,3001,variable_2_4/repetition_1,bf23b43ba2e94b7d994bbae85dbabef5,variable_2_4,1,0,40,3,loss,fixed_3p/repetition_3|variable_encoder_2_4/repetition_1
